date,Score_Momentum,Score_Strength,Score_Oscillator,Score_PC,Score_VKOSPI,Score_SafeHaven,Score_Junk,FGI
2023-01-02,55.26982308,16.66666666666668,7.250341997264022,73.05061559507524,45.55403556771546,2.4623803009575895,1.407129455909939,28.80871323765556
2023-01-03,55.12415033,37.50000000000001,10.259917920656635,16.005471956224348,44.87004103967168,2.735978112175108,1.407129455909939,23.986098402091102
2023-01-04,65.14211885,75.0,24.076607387140903,59.37072503419974,52.39398084815321,9.71272229822161,1.407129455909939,41.01475483908934
2023-01-05,68.10736755,58.333333333333336,29.82216142270862,55.12995896032832,56.771545827633375,13.679890560875519,1.407129455909939,40.46448387296987
2023-01-06,73.82796237,79.16666666666666,41.86046511627907,69.76744186046511,58.276333789329684,19.42544459644323,1.407129455909939,49.1044919792991
2023-01-07,73.82796237,79.16666666666666,41.86046511627907,69.76744186046511,58.276333789329684,19.42544459644323,1.407129455909939,49.1044919792991
2023-01-08,73.82796237,79.16666666666666,41.86046511627907,69.76744186046511,58.276333789329684,19.42544459644323,1.407129455909939,49.1044919792991
2023-01-09,86.40148484,87.5,56.771545827633375,97.81121751025992,48.70041039671683,27.496580027359784,1.407129455909939,58.01262400826855
2023-01-10,86.20089964,79.16666666666666,54.85636114911081,94.11764705882352,51.641586867305065,33.926128590971274,1.407129455909939,57.33091706125533
2023-01-11,87.38252005,79.16666666666666,57.865937072503414,64.02188782489739,55.12995896032832,32.83173734610123,1.407129455909939,53.972262482343865
2023-01-12,87.82474692,83.33333333333334,61.2859097127223,66.07387140902873,49.658002735978116,26.402188782489745,1.407129455909939,53.71216890706604
2023-01-13,92.44931023,83.33333333333334,74.55540355677155,52.25718194254446,64.97948016415869,48.70041039671683,1.407129455909939,59.668892725633555
2023-01-14,92.44931023,83.33333333333334,74.55540355677155,52.25718194254446,64.97948016415869,48.70041039671683,1.407129455909939,59.668892725633555
2023-01-15,92.44931023,83.33333333333334,74.55540355677155,52.25718194254446,64.97948016415869,48.70041039671683,1.407129455909939,59.668892725633555
2023-01-16,95.84537022,100.0,72.36662106703147,30.23255813953488,69.28864569083447,58.82352941176471,1.407129455909939,61.137693426439355
2023-01-17,92.33215032,84.00000000000001,67.16826265389876,44.04924760601915,69.69904240766074,55.12995896032832,1.407129455909939,59.112255914830996
2023-01-18,89.52274871,84.00000000000001,53.3515731874145,51.70998632010944,71.27222982216142,44.73324213406292,1.407129455909939,56.57098708995118
2023-01-19,92.47630696,84.00000000000001,47.60601915184679,68.12585499316006,69.08344733242133,50.752393980848154,1.407129455909939,59.064450267740895
2023-01-20,95.25292226,92.0,56.0875512995896,52.667578659370726,70.99863201094392,47.195622435020525,1.407129455909939,59.37277658869068
2023-01-21,95.25292226,92.0,56.0875512995896,52.667578659370726,70.99863201094392,47.195622435020525,1.407129455909939,59.37277658869068
2023-01-22,95.25292226,92.0,56.0875512995896,52.667578659370726,70.99863201094392,47.195622435020525,1.407129455909939,59.37277658869068
2023-01-23,95.25292226,92.0,56.0875512995896,52.667578659370726,70.99863201094392,47.195622435020525,1.407129455909939,59.37277658869068
2023-01-24,95.25292226,92.0,56.0875512995896,52.667578659370726,70.99863201094392,47.195622435020525,1.407129455909939,59.37277658869068
2023-01-25,100.0,96.0,70.04103967168263,5.061559507523938,70.10943912448701,70.7250341997264,1.407129455909939,59.049171708475704
2023-01-26,100.0,96.0,83.17373461012312,41.313269493844054,74.55540355677155,77.01778385772914,1.407129455909939,67.6381887106254
2023-01-27,100.0,92.0,90.42407660738714,96.16963064295486,69.49384404924761,79.06976744186046,1.407129455909939,75.50920688533715
2023-01-28,100.0,92.0,90.42407660738714,96.16963064295486,69.49384404924761,79.06976744186046,1.407129455909939,75.50920688533715
2023-01-29,100.0,92.0,90.42407660738714,96.16963064295486,69.49384404924761,79.06976744186046,1.407129455909939,75.50920688533715
2023-01-30,92.80171757,88.0,74.6922024623803,82.48974008207935,62.653898768809846,81.1217510259918,1.407129455909939,69.02377705216732
2023-01-31,85.54717351,96.0,80.98495212038304,75.37619699042408,58.13953488372092,82.48974008207935,1.407129455909939,68.56353243464534
2023-02-01,90.87418419,92.0,91.92886456908344,53.898768809849514,60.601915184678525,86.73050615595075,32.87992495309568,72.70202340895113
2023-02-02,94.56185098,76.0,96.71682626538988,50.06839945280438,67.16826265389876,89.46648426812585,32.87992495309568,72.40882122475922
2023-02-03,97.12110464,80.0,90.15047879616964,79.20656634746922,67.85225718194255,85.3625170998632,32.87992495309568,76.08183557407719
2023-02-04,97.12110464,80.0,90.15047879616964,79.20656634746922,67.85225718194255,85.3625170998632,32.87992495309568,76.08183557407719
2023-02-05,97.12110464,80.0,90.15047879616964,79.20656634746922,67.85225718194255,85.3625170998632,32.87992495309568,76.08183557407719
2023-02-06,87.68671816,72.0,80.02735978112176,85.22571819425444,60.46511627906976,76.47058823529412,32.87992495309568,70.67934651469082
2023-02-07,90.06124288,72.0,69.22024623803009,51.57318741450068,63.47469220246238,72.77701778385773,32.87992495309568,64.56947306742094
2023-02-08,96.93768647,84.00000000000001,76.74418604651163,62.7906976744186,61.42270861833106,70.86183310533517,32.87992495309568,69.37671955252745
2023-02-09,95.97758371,80.0,84.26812585499316,85.63611491108071,55.95075239398084,70.04103967168263,32.87992495309568,72.10764878497613
2023-02-10,94.39224038,84.00000000000001,77.01778385772914,15.184678522571815,60.80711354309165,68.80984952120383,32.87992495309568,61.870227253956024
2023-02-11,94.39224038,84.00000000000001,77.01778385772914,15.184678522571815,60.80711354309165,68.80984952120383,32.87992495309568,61.870227253956024
2023-02-12,94.39224038,84.00000000000001,77.01778385772914,15.184678522571815,60.80711354309165,68.80984952120383,32.87992495309568,61.870227253956024
2023-02-13,91.80198593,84.00000000000001,77.83857729138167,33.378932968536255,51.23119015047879,65.38987688098496,32.87992495309568,62.36006973921105
2023-02-14,94.19303037,84.00000000000001,71.68262653898769,50.752393980848154,48.15321477428181,64.29548563611492,32.87992495309568,63.70809660761832
2023-02-15,86.93383403,68.0,36.25170998632011,80.43775649794802,52.25718194254446,43.63885088919288,32.87992495309568,57.19989404272874
2023-02-16,95.26314884,92.0,51.70998632010944,80.98495212038304,56.90834473324213,64.56908344733242,32.87992495309568,67.75934863059466
2023-02-17,90.88087446,80.0,57.3187414500684,28.31737346101231,51.23119015047879,69.76744186046511,32.87992495309568,58.62793519073147
2023-02-18,90.88087446,80.0,57.3187414500684,28.31737346101231,51.23119015047879,69.76744186046511,32.87992495309568,58.62793519073147
2023-02-19,90.88087446,80.0,57.3187414500684,28.31737346101231,51.23119015047879,69.76744186046511,32.87992495309568,58.62793519073147
2023-02-20,92.31972392,88.0,62.106703146374834,65.5266757865937,47.332421340629274,72.50341997264023,32.87992495309568,65.80983844561909
2023-02-21,92.06575878,88.0,74.4186046511628,21.751025991792062,45.280437756497946,66.21067031463748,32.87992495309568,60.08663177816942
2023-02-22,84.55446856,68.0,46.92202462380301,66.75786593707251,41.03967168262655,39.53488372093024,32.87992495309568,54.241262782503995
2023-02-23,89.27015102,96.0,54.719562243502054,69.22024623803009,44.73324213406292,34.4733242134063,32.87992495309568,60.18520725744243
2023-02-24,85.92754986,88.0,36.11491108071135,51.84678522571819,46.0328317373461,19.15184678522572,32.87992495309568,51.42197852029957
2023-02-25,85.92754986,88.0,36.11491108071135,51.84678522571819,46.0328317373461,19.15184678522572,32.87992495309568,51.42197852029957
2023-02-26,85.92754986,88.0,36.11491108071135,51.84678522571819,46.0328317373461,19.15184678522572,32.87992495309568,51.42197852029957
2023-02-27,81.98322027,60.0,21.3406292749658,45.827633378932966,42.47606019151847,27.633378932968533,32.87992495309568,44.59154957164021
2023-02-28,83.2422636,72.0,34.06292749658002,48.70041039671683,48.01641586867304,50.20519835841313,32.87992495309568,52.72959152478267
2023-03-01,83.2422636,72.0,34.06292749658002,48.70041039671683,48.01641586867304,50.20519835841313,35.64727954971857,53.124927895728796
2023-03-02,85.2137562,80.0,41.313269493844054,61.42270861833106,50.13679890560876,47.60601915184679,35.64727954971857,57.33426170276418
2023-03-03,85.38248373,80.0,29.958960328317374,38.98768809849521,58.686730506155946,38.57729138166894,35.64727954971857,52.462919084908
2023-03-04,85.38248373,80.0,29.958960328317374,38.98768809849521,58.686730506155946,38.57729138166894,35.64727954971857,52.462919084908
2023-03-05,85.38248373,80.0,29.958960328317374,38.98768809849521,58.686730506155946,38.57729138166894,35.64727954971857,52.462919084908
2023-03-06,91.58572107,76.0,38.98768809849521,60.601915184678525,65.18467852257182,47.8796169630643,35.64727954971857,59.412414198361205
2023-03-07,89.99548789,84.00000000000001,39.945280437756495,64.29548563611492,68.39945280437756,56.22435020519836,35.64727954971857,62.64390521759514
2023-03-08,84.00349013,60.0,29.68536251709986,59.78112175102599,64.6374829001368,41.58686730506156,35.64727954971857,53.62022916472039
2023-03-09,82.17801031,80.0,22.29822161422709,56.90834473324213,74.55540355677155,24.076607387140903,35.64727954971857,53.66626673587147
2023-03-10,77.62815343,44.0,7.934336525307797,26.402188782489745,60.191518467852255,14.363885088919293,35.64727954971857,38.023908834898236
2023-03-11,77.62815343,44.0,7.934336525307797,26.402188782489745,60.191518467852255,14.363885088919293,35.64727954971857,38.023908834898236
2023-03-12,77.62815343,44.0,7.934336525307797,26.402188782489745,60.191518467852255,14.363885088919293,35.64727954971857,38.023908834898236
2023-03-13,81.02873228,52.0,5.198358413132695,22.435020519835845,51.98358413132696,16.279069767441857,35.64727954971857,37.796006380207984
2023-03-14,70.7691067,4.000000000000003,0.6839945280437756,11.491108071135436,27.633378932968533,7.25034199726402,35.64727954971857,22.496458539875757
2023-03-15,75.622048,64.0,6.839945280437757,35.43091655266758,46.785225718194255,11.627906976744185,35.64727954971857,39.42190315396605
2023-03-16,74.71077455,48.00000000000001,3.009575923392613,15.321477428180575,36.73050615595075,15.595075239398081,35.64727954971857,32.71638412094866
2023-03-17,79.6619343,88.0,8.207934336525307,32.010943912448695,50.889192886456904,12.585499316005478,35.64727954971857,43.85754061445071
2023-03-18,79.6619343,88.0,8.207934336525307,32.010943912448695,50.889192886456904,12.585499316005478,35.64727954971857,43.85754061445071
2023-03-19,79.6619343,88.0,8.207934336525307,32.010943912448695,50.889192886456904,12.585499316005478,35.64727954971857,43.85754061445071
2023-03-20,76.17117264,80.0,9.439124487004104,29.958960328317374,32.284541723666216,8.618331053351568,35.64727954971857,38.874201397436835
2023-03-21,77.30357773,80.0,18.194254445964432,42.6812585499316,41.4500683994528,8.071135430916554,35.64727954971857,43.33536772942629
2023-03-22,82.29383354,80.0,33.10533515731874,17.373461012311896,50.54719562243501,12.859097127222984,35.64727954971857,44.54660028700103
2023-03-23,84.38764886,72.0,44.73324213406293,5.745554035567713,55.47195622435021,23.392612859097127,35.64727954971857,45.91118480897094
2023-03-24,82.294053,68.0,57.045143638850895,45.280437756497946,59.78112175102599,15.047879616963067,35.64727954971857,51.870845044722365
2023-03-25,82.294053,68.0,57.045143638850895,45.280437756497946,59.78112175102599,15.047879616963067,35.64727954971857,51.870845044722365
2023-03-26,82.294053,68.0,57.045143638850895,45.280437756497946,59.78112175102599,15.047879616963067,35.64727954971857,51.870845044722365
2023-03-27,80.17393693,76.0,56.49794801641587,53.07797537619698,55.47195622435021,19.28864569083447,35.64727954971857,53.73682025535944
2023-03-28,84.62408798,100.0,87.55129958960327,5.608755129958965,70.99863201094392,31.60054719562243,35.64727954971857,59.43294306512103
2023-03-29,85.21192119,80.0,91.24487004103968,9.439124487004102,77.01778385772914,25.71819425444597,35.64727954971857,57.75416762570536
2023-03-30,86.23913847,84.00000000000001,93.98084815321477,18.057455540355683,80.23255813953489,23.666210670314637,35.64727954971857,60.26049864616265
2023-03-31,91.18557213,100.0,95.48563611491107,26.949384404924757,80.77975376196991,39.12448700410397,35.64727954971857,67.02458756651833
2023-04-01,91.18557213,100.0,95.48563611491107,26.949384404924757,80.77975376196991,39.12448700410397,9.8968105065666,63.34594913178234
2023-04-02,91.18557213,100.0,95.48563611491107,26.949384404924757,80.77975376196991,39.12448700410397,9.8968105065666,63.34594913178234
2023-04-03,88.5373479,100.0,98.7688098495212,17.920656634746923,79.00136798905608,25.581395348837212,9.8968105065666,59.95805546124685
2023-04-04,90.02487313,100.0,99.72640218878249,16.279069767441857,82.83173734610124,30.916552667578657,9.8968105065666,61.38220651521012
2023-04-05,92.09512721,96.42857142857144,99.04240766073872,10.807113543091651,82.0109439124487,46.101231190150486,9.8968105065666,62.34031506450965
